poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
82872,320,Monmouth U.,,,Monmouth University,215,Monmouth University,A,Live Phone,,5/18/23,5/23/23,,,,173507,981,a,,a,,5/24/23 11:20,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_052423/,,FALSE,,6826,Kamala Harris,37,52,11
82872,320,Monmouth U.,,,Monmouth University,215,Monmouth University,A,Live Phone,,5/18/23,5/23/23,,,,173508,907,rv,,rv,,5/24/23 11:20,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_052423/,,FALSE,,6826,Kamala Harris,37,53,10
82849,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,5/17/23,5/17/23,,,,173329,1500,rv,,rv,,5/19/23 14:26,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-17-may-2023/,,FALSE,,6826,Kamala Harris,36,44,21
82782,1575,Leger,"14,361,783",The Canadian Press | The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,5/5/23,5/8/23,,,,173107,1002,a,,a,,5/10/23 20:16,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-may-10-2023/,,FALSE,,6826,Kamala Harris,39,59,3
82786,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,5/5/23,5/8/23,,,,173055,1584,a,,a,,5/10/23 9:47,,https://news.yahoo.com/new-yahoo-news-poll-shows-biden-still-leads-trump-for-2024-100012891.html,,FALSE,,6826,Kamala Harris,40,46,14
82786,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,B+,Online,,5/5/23,5/8/23,,,,173056,1059,rv,,rv,,5/10/23 9:47,,https://news.yahoo.com/new-yahoo-news-poll-shows-biden-still-leads-trump-for-2024-100012891.html,,FALSE,,6826,Kamala Harris,43,49,8
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,,,172651,1500,a,,a,,5/3/23 9:55,,https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,,FALSE,,6826,Kamala Harris,41,44,15
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,,,172652,1357,rv,,rv,,5/3/23 9:55,,https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,,FALSE,,6826,Kamala Harris,41,49,9
82701,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,4/24/23,4/24/23,,,,172525,1500,rv,,rv,,4/28/23 15:56,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-24-april-2023/,,FALSE,,6826,Kamala Harris,39,47,15
82672,568,YouGov,133,CBS News,YouGov,391,YouGov,B+,Online,,4/21/23,4/24/23,,,,172371,2093,a,,a,,4/26/23 9:41,,https://www.cbsnews.com/news/democrats-biden-reelection-bid-acceptance-more-than-excitement-poll-2023-04-24/,,FALSE,,6826,Kamala Harris,43,57,0
82682,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,4/21/23,4/24/23,,,,172370,1005,a,,a,,4/26/23 9:40,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-april-25-2023/,,FALSE,,6826,Kamala Harris,42,56,1
82687,1597,Beacon Research/Shaw & Company,149,FOX News,Beacon Research/Shaw & Company Research,103,Beacon Research/Shaw & Co. Research,A,Live Phone,,4/21/23,4/24/23,,,,172436,1004,rv,,rv,,4/26/23 19:30,,https://www.foxnews.com/official-polls/fox-news-poll-trump-still-top-2024-republican-preference-desantis-slipping,,FALSE,,6826,Kamala Harris,43,54,3
82630,1575,Leger,1783,The Association for Canadian Studies,Leger,572,Leger,B/C,Online,,4/14/23,4/15/23,,,,172065,1001,a,,a,,4/19/23 10:35,,https://leger360.com/surveys/joe-biden-and-kamala-harris-approval-ratings-april-18-2023/,,FALSE,,6826,Kamala Harris,41,56,3
82557,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,B/C,Online,,4/4/23,4/4/23,,,,171783,1500,rv,,rv,,4/7/23 12:05,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-4-april-2023/,,FALSE,,6826,Kamala Harris,35,44,21
